Company_ID,Account_Age_Months,Monthly_Recurring_Revenue,Active_Users,Support_Tickets_Last_Month,Days_Since_Last_Login,Contract_Type,Churn
CMP_1152,27,5672.804805967666,238,3,24,Month-to-Month,0
CMP_1153,35,2442.378417519762,337,9,21,Two Year,0
CMP_1154,1,2925.4362267873507,179,2,18,One Year,0
CMP_1155,35,3309.09940339524,336,11,15,One Year,0
CMP_1156,37,6141.1235676913475,329,1,79,Month-to-Month,1
CMP_1157,47,811.6914292217803,361,0,6,One Year,0
CMP_1158,14,6542.403453409699,163,2,43,Month-to-Month,1
CMP_1159,3,3961.365265068204,352,9,31,Month-to-Month,1
CMP_1160,1,3304.7971236516005,352,5,28,Month-to-Month,0
CMP_1161,5,8855.217421917201,290,8,8,Two Year,0
CMP_1162,26,4870.02275801759,22,10,29,One Year,0
CMP_1163,55,1403.0039325605815,48,4,21,Month-to-Month,0
CMP_1164,14,8354.094296249346,159,14,81,Two Year,1
CMP_1165,39,952.5919456468127,359,2,88,Month-to-Month,1
CMP_1166,27,7404.1176295978685,414,13,58,Month-to-Month,1
CMP_1167,9,7852.109106821319,381,4,60,Month-to-Month,1
CMP_1168,15,3849.7247563241526,235,4,50,One Year,0
CMP_1169,15,8335.484634638975,375,4,31,One Year,0
CMP_1170,26,5398.764355636307,320,11,47,Month-to-Month,1
CMP_1171,42,4901.289706091569,406,11,34,One Year,1
CMP_1172,13,931.3311739525792,229,6,2,Month-to-Month,1
CMP_1173,51,3255.277339664606,221,4,67,One Year,0
CMP_1174,32,9344.594723410348,60,6,72,Month-to-Month,1
CMP_1175,39,4222.32765119325,35,8,52,One Year,1
CMP_1176,49,5693.654945289299,361,4,7,One Year,0
CMP_1177,52,5554.205950350392,63,1,76,One Year,0
CMP_1178,32,6109.095353315586,384,4,19,Month-to-Month,0
CMP_1179,4,1082.6440786111848,390,7,15,One Year,0
CMP_1180,30,3940.6744205879186,357,11,78,Month-to-Month,1
CMP_1181,37,7369.718601884265,427,3,48,Two Year,0
CMP_1182,23,2405.322385193338,449,1,14,Month-to-Month,0
CMP_1183,39,2433.994586690424,239,9,3,Month-to-Month,1
CMP_1184,45,595.8607635457349,111,2,50,One Year,0
CMP_1185,15,4656.078302777993,195,8,54,One Year,1
CMP_1186,43,8885.97661639751,484,8,6,Month-to-Month,1
CMP_1187,29,993.0589640794356,22,7,49,Two Year,1
CMP_1188,36,2315.627740212025,405,7,23,Two Year,0
CMP_1189,13,3445.803114256173,230,7,78,One Year,1
CMP_1190,32,7451.384997360023,171,7,78,Month-to-Month,1
CMP_1191,7,6586.038131624572,75,7,20,One Year,0
CMP_1192,59,4451.467093527623,366,0,77,Month-to-Month,1
CMP_1193,51,7711.154922954569,58,5,60,Month-to-Month,1
CMP_1194,22,6291.4946107405685,249,11,45,Two Year,1
CMP_1195,28,9012.387596743582,487,8,61,Two Year,1
CMP_1196,2,8271.254116817583,354,7,56,Two Year,1
CMP_1197,42,2901.7292578474053,80,2,2,Month-to-Month,0
CMP_1198,45,3078.666487524902,39,10,45,Month-to-Month,1
CMP_1199,57,1690.8865200276634,271,0,40,Month-to-Month,1
CMP_1200,53,3701.1648943158366,321,1,24,Month-to-Month,0
CMP_1201,6,9995.667227831396,304,10,29,Month-to-Month,1
CMP_1202,28,4354.63610184308,125,14,67,Month-to-Month,1
CMP_1203,28,2594.6401295465107,328,1,68,One Year,0
CMP_1204,44,7743.587402517754,29,6,66,One Year,1
CMP_1205,44,5653.474532895233,436,11,84,One Year,1
CMP_1206,20,1921.213770506049,164,5,54,Two Year,0
CMP_1207,30,4116.551971028224,88,10,53,Month-to-Month,1
CMP_1208,11,4437.4622976237615,118,1,79,Month-to-Month,1
CMP_1209,58,7661.382155407577,227,7,49,One Year,1
CMP_1210,55,696.3780044730925,392,14,32,One Year,1
CMP_1211,28,3055.6866445839496,170,8,61,One Year,1
CMP_1212,25,5417.16486249746,195,14,42,Month-to-Month,1
CMP_1213,39,3054.044053302012,179,6,1,Month-to-Month,0
CMP_1214,33,6470.12345048049,5,3,63,One Year,0
CMP_1215,1,5077.741053108858,391,12,35,Two Year,1
CMP_1216,57,3936.247421166016,233,12,51,Two Year,1
CMP_1217,27,9517.481955269866,90,0,71,One Year,0
CMP_1218,57,6505.515242271345,66,3,45,One Year,0
CMP_1219,52,1734.4430365454416,324,3,77,Two Year,0
CMP_1220,13,5820.871125712257,405,7,65,One Year,1
CMP_1221,41,7916.952605408559,386,3,14,One Year,0
CMP_1222,3,7230.652126181574,210,3,3,Two Year,0
CMP_1223,39,2134.847678304964,109,12,24,One Year,0
CMP_1224,6,9737.989990880982,322,1,65,Two Year,0
CMP_1225,8,4763.729634592757,295,11,48,Month-to-Month,1
CMP_1226,27,2010.7375355324823,254,9,10,One Year,0
CMP_1227,9,2211.859664217405,17,6,13,Two Year,0
CMP_1228,37,1433.2324257962646,167,14,73,Month-to-Month,1
CMP_1229,33,8133.422030131876,47,3,14,One Year,0
CMP_1230,51,1659.2896960575622,390,10,10,Month-to-Month,0
CMP_1231,42,1688.6899428465958,444,5,40,Two Year,0
CMP_1232,44,8579.480340227958,115,2,23,One Year,0
CMP_1233,24,3773.7388022518167,209,6,55,Month-to-Month,1
CMP_1234,15,793.1500909266883,388,5,63,Month-to-Month,1
CMP_1235,59,993.0053454249033,260,2,71,One Year,0
CMP_1236,54,1850.6192436870078,311,3,42,One Year,0
CMP_1237,32,2527.2368057690505,442,9,66,Month-to-Month,1
CMP_1238,32,6818.888845264851,148,13,79,Two Year,1
CMP_1239,24,1994.5996600173683,150,4,73,One Year,0
CMP_1240,41,1629.306716182184,395,8,47,One Year,1
CMP_1241,52,7764.831844024652,305,13,81,Month-to-Month,1
CMP_1242,49,6875.025196669187,168,5,52,Two Year,0
CMP_1243,49,4635.580103824744,173,12,18,Month-to-Month,1
CMP_1244,58,5718.442829060988,482,3,79,One Year,0
CMP_1245,52,3463.8481931009755,302,10,18,Two Year,0
CMP_1246,12,5083.7539922359265,237,10,24,Month-to-Month,1
CMP_1247,39,5313.3901653360845,395,6,23,One Year,0
CMP_1248,2,4178.754076191912,275,1,12,Month-to-Month,0
CMP_1249,3,9112.436001385546,64,3,23,One Year,0
CMP_1250,49,652.5877173195584,300,4,21,One Year,0
CMP_1251,37,7930.626999366838,471,3,64,Two Year,0
CMP_1252,49,1681.636896792581,239,3,72,Two Year,0
CMP_1253,56,8076.699925103395,169,10,34,One Year,1
CMP_1254,17,6351.163198928852,198,12,2,One Year,0
CMP_1255,59,8511.141863895824,238,8,69,One Year,1
CMP_1256,49,1426.386093588526,372,13,31,Month-to-Month,1
CMP_1257,2,5810.316023947854,187,10,68,One Year,1
CMP_1258,2,5260.334862490872,337,12,70,Two Year,1
CMP_1259,28,7208.835238151907,236,1,87,Month-to-Month,1
CMP_1260,54,5575.76024298992,365,5,19,Month-to-Month,0
CMP_1261,23,5636.9783877644895,495,13,72,Month-to-Month,1
CMP_1262,37,4581.161463972614,111,7,13,Month-to-Month,1
CMP_1263,32,3433.927028069738,382,7,65,Month-to-Month,1
CMP_1264,33,5081.511431895826,227,10,6,Month-to-Month,1
CMP_1265,1,1625.6774082998056,84,6,71,Month-to-Month,1
CMP_1266,19,9634.376720339305,238,9,27,One Year,0
CMP_1267,2,7286.902254452683,385,10,79,Month-to-Month,1
CMP_1268,53,9548.437608534545,188,3,52,One Year,0
CMP_1269,44,2653.910132134651,432,6,87,Two Year,1
CMP_1270,26,8853.739691677016,189,12,48,Two Year,1
CMP_1271,32,8183.5048533536155,138,9,88,One Year,1
CMP_1272,6,6932.9479183479,224,5,79,Month-to-Month,1
CMP_1273,32,6437.777267809454,292,10,68,Two Year,1
CMP_1274,55,3507.2218200447646,368,5,44,One Year,0
CMP_1275,4,8255.902457167791,206,1,17,Month-to-Month,0
CMP_1276,55,5264.396884057471,374,7,38,Month-to-Month,1
CMP_1277,11,1173.4699709672109,150,7,10,Month-to-Month,0
CMP_1278,56,3472.200028123735,328,13,54,Month-to-Month,1
CMP_1279,59,9385.322436180611,131,10,6,Month-to-Month,1
CMP_1280,17,8581.46247574604,461,6,6,Two Year,0
CMP_1281,38,9828.104131727123,139,10,52,One Year,1
CMP_1282,24,6465.9371347389315,118,8,15,One Year,0
CMP_1283,5,2851.3456948339135,268,7,68,Two Year,1
CMP_1284,52,2046.7429719302058,68,13,57,One Year,1
CMP_1285,34,2275.6871857803853,495,8,56,Two Year,1
CMP_1286,6,688.0587542989167,139,14,7,Two Year,0
CMP_1287,22,4211.480054366422,45,8,51,Month-to-Month,1
CMP_1288,11,2318.5629647456535,300,5,58,Two Year,0
CMP_1289,48,4410.726874338673,7,1,64,One Year,0
CMP_1290,16,9382.447102468272,405,11,26,Month-to-Month,0
CMP_1291,33,4590.131990318305,198,6,58,One Year,1
CMP_1292,9,8840.85272135593,467,2,31,One Year,0
CMP_1293,59,6252.295282850827,114,12,66,Two Year,1
CMP_1294,6,2847.749769283223,225,6,13,Month-to-Month,0
CMP_1295,16,3880.620212962508,374,8,18,One Year,0
CMP_1296,29,1297.2355903035796,372,9,75,Month-to-Month,1
CMP_1297,3,3667.8946391621,440,13,13,Month-to-Month,0
CMP_1298,20,6936.638982283574,410,9,24,Month-to-Month,1
CMP_1299,59,1185.0553828296343,8,1,57,One Year,0
CMP_1300,36,2451.313380541279,248,13,29,Two Year,0
CMP_1301,19,4123.689893426459,394,12,56,Month-to-Month,1
CMP_1302,26,9829.470601651645,170,5,54,One Year,0
CMP_1303,3,7956.1873181093615,30,12,5,Month-to-Month,0
CMP_1304,19,7468.124091674987,399,5,35,Month-to-Month,1
CMP_1305,20,1603.8140869917368,478,8,19,One Year,0
CMP_1306,32,7919.4609893424185,21,12,55,Month-to-Month,1
CMP_1307,7,7960.053709402144,220,8,77,One Year,1
CMP_1308,52,6210.475608431118,96,14,69,Month-to-Month,1
CMP_1309,41,9908.436928984533,487,12,44,Month-to-Month,1
CMP_1310,33,3589.9121062832437,35,4,78,One Year,0
CMP_1311,40,9442.08825829759,209,13,38,One Year,1
CMP_1312,39,9189.945592086784,423,4,62,Month-to-Month,1
CMP_1313,18,609.0662676190896,404,8,22,One Year,0
CMP_1314,40,4776.107001510705,211,7,73,Two Year,1
CMP_1315,1,9782.490213989946,111,6,40,One Year,1
CMP_1316,11,1479.6529428767199,150,7,26,Month-to-Month,1
CMP_1317,28,5703.954596641534,371,5,5,One Year,0
CMP_1318,57,9800.09631689049,105,2,54,One Year,0
CMP_1319,25,5777.206529005672,372,6,86,Month-to-Month,1
CMP_1320,50,2303.245378235482,322,7,49,Two Year,1
CMP_1321,23,6030.740685879603,372,14,3,Two Year,0
CMP_1322,31,2442.185452520695,245,7,38,Two Year,1
CMP_1323,30,5437.1904974976005,493,0,14,Two Year,0
CMP_1324,42,1203.401070167306,415,6,47,One Year,1
CMP_1325,35,6252.085357536844,251,2,14,One Year,0
CMP_1326,7,5409.504421717503,167,1,75,One Year,0
CMP_1327,16,7531.5330032339,376,13,73,Two Year,1
CMP_1328,26,6491.654476008458,177,1,38,One Year,0
CMP_1329,48,5721.259551042188,39,13,64,Month-to-Month,1
CMP_1330,57,7052.899067857151,288,14,44,Month-to-Month,1
CMP_1331,52,1867.448178936193,363,13,70,Two Year,1
CMP_1332,49,6155.916781956738,385,7,65,Month-to-Month,1
CMP_1333,2,2135.0507268163883,362,8,25,One Year,0
CMP_1334,1,9292.460974592868,397,2,16,Two Year,0
CMP_1335,48,1149.17399603324,464,13,15,One Year,0
CMP_1336,12,4588.560122062536,403,2,81,Two Year,0
CMP_1337,5,7110.076037726726,25,5,3,One Year,0
CMP_1338,37,4851.211010848458,312,10,67,Month-to-Month,1
CMP_1339,32,1374.9049057125724,167,9,37,Two Year,1
CMP_1340,59,5757.10065320372,494,0,81,Month-to-Month,1
CMP_1341,55,6595.503133859868,101,5,55,Month-to-Month,1
CMP_1342,9,7186.026954409823,311,11,38,Month-to-Month,1
CMP_1343,41,4045.9682373962096,343,2,63,Month-to-Month,1
CMP_1344,35,5854.769724773241,59,10,1,Month-to-Month,1
CMP_1345,19,4781.521511919675,475,3,71,Month-to-Month,1
CMP_1346,48,6884.532368146407,337,8,19,One Year,0
CMP_1347,16,6043.791189585776,131,2,52,Two Year,0
CMP_1348,3,5494.684085811781,432,0,30,Month-to-Month,0
CMP_1349,20,2870.481484963362,197,2,55,Month-to-Month,1
CMP_1350,24,519.1759186082222,247,6,14,One Year,0
CMP_1351,54,2153.7759154585783,353,12,13,One Year,0
CMP_1352,56,1612.1273935296022,92,6,84,Two Year,1
CMP_1353,33,4766.3050776039945,340,10,27,Month-to-Month,0
CMP_1354,24,6316.452432237524,413,4,89,Two Year,0
CMP_1355,52,2524.3075825056776,219,13,9,One Year,0
CMP_1356,11,9421.042411688277,96,0,41,One Year,0
CMP_1357,49,563.4802276269339,307,10,48,Month-to-Month,1
CMP_1358,8,7836.859644070757,468,7,12,Month-to-Month,1
CMP_1359,36,6439.445310539201,239,9,10,Month-to-Month,1
CMP_1360,38,4048.7706099529782,188,7,6,Month-to-Month,0
CMP_1361,40,979.6449719178752,42,9,34,One Year,1
CMP_1362,20,6461.122431950654,143,11,52,Two Year,1
CMP_1363,35,4163.3283722236565,199,9,41,One Year,1
CMP_1364,48,9394.537824425583,19,12,83,One Year,1
CMP_1365,25,5648.905711452776,261,9,6,One Year,0
CMP_1366,35,9426.689357288327,139,1,2,Month-to-Month,0
CMP_1367,25,2594.595087996389,5,9,15,Two Year,0
CMP_1368,29,7394.396148458981,53,2,17,One Year,0
CMP_1369,18,6363.865698062894,100,3,16,Month-to-Month,0
CMP_1370,46,7524.378183397463,205,0,28,Month-to-Month,0
CMP_1371,18,2539.3447077390992,417,3,85,One Year,0
CMP_1372,2,6817.44790425885,30,4,72,One Year,0
CMP_1373,54,5231.383734040255,347,2,10,Month-to-Month,0
CMP_1374,35,7556.837261610004,433,13,10,Two Year,0
CMP_1375,16,3606.924119442269,239,10,10,One Year,0
CMP_1376,41,8955.5417419199,353,14,73,One Year,1
CMP_1377,36,1300.8624888078284,248,9,28,Month-to-Month,0
CMP_1378,33,8168.298528516287,362,1,24,Month-to-Month,0
CMP_1379,4,8682.536445243362,485,12,19,Two Year,0
CMP_1380,33,8263.896957984802,331,5,68,Two Year,0
CMP_1381,14,5370.900745486872,400,7,56,Month-to-Month,1
CMP_1382,21,4664.657310292232,355,6,67,Month-to-Month,1
CMP_1383,48,9964.49172198633,420,10,42,Month-to-Month,1
CMP_1384,20,2677.1335365345403,378,13,12,Month-to-Month,0
CMP_1385,56,5695.3216758224235,408,0,18,One Year,0
CMP_1386,8,6871.417491132092,379,3,23,Two Year,0
CMP_1387,7,7158.242540683604,55,2,84,Month-to-Month,1
CMP_1388,3,2438.2343245164975,85,5,6,Month-to-Month,0
CMP_1389,17,6712.943877228112,40,8,53,Two Year,1
CMP_1390,33,8274.510881572704,71,8,42,Month-to-Month,1
CMP_1391,48,975.1764798005661,133,6,66,Two Year,1
CMP_1392,12,9159.452286590507,374,14,30,One Year,0
CMP_1393,59,780.2885238794563,159,11,9,Two Year,0
CMP_1394,51,3881.7248086397462,249,8,42,Month-to-Month,1
CMP_1395,22,650.2253642131396,115,7,34,Month-to-Month,1
CMP_1396,55,1232.8791011260278,172,4,40,Month-to-Month,1
CMP_1397,22,9156.098709210752,485,8,88,Month-to-Month,1
CMP_1398,46,3871.1778920884044,472,13,17,Month-to-Month,1
CMP_1399,30,4535.329539038003,146,6,29,Two Year,0
CMP_1400,38,2545.77162313425,360,4,50,Two Year,0
CMP_1401,38,6172.4098167738375,201,14,76,One Year,1
CMP_1402,45,6150.630539439001,475,7,49,Month-to-Month,1
CMP_1403,51,4035.903722339583,113,14,73,One Year,1
CMP_1404,54,3663.8312821512845,380,6,61,One Year,1
CMP_1405,8,8907.160927715584,83,8,83,Month-to-Month,1
CMP_1406,27,4141.200276600914,394,9,46,Two Year,1
CMP_1407,27,5188.259425466878,165,0,46,Month-to-Month,1
CMP_1408,34,3191.395243036841,443,14,17,Month-to-Month,1
CMP_1409,21,7974.31028189271,23,12,66,Month-to-Month,1
CMP_1410,30,4275.75749054137,131,8,5,One Year,0
CMP_1411,33,5379.304942171083,209,14,54,One Year,1
CMP_1412,28,2906.8931155667833,33,6,16,Month-to-Month,1
CMP_1413,47,9882.766127241892,449,0,81,Month-to-Month,1
CMP_1414,33,3269.2095387753675,458,0,7,Month-to-Month,0
CMP_1415,5,7822.05404360274,211,4,8,Month-to-Month,0
CMP_1416,48,4561.208678389212,468,7,72,Month-to-Month,1
CMP_1417,19,2459.065348299329,284,8,87,Month-to-Month,1
CMP_1418,4,8097.328257666181,155,11,82,Month-to-Month,1
CMP_1419,35,3669.2644957759103,244,5,38,Two Year,0
CMP_1420,49,8719.336800279205,270,11,54,One Year,1
CMP_1421,17,9194.943256719318,186,12,76,One Year,1
CMP_1422,44,8668.326436217121,109,9,15,Month-to-Month,1
CMP_1423,28,832.5751906646537,429,11,50,Month-to-Month,1
CMP_1424,30,7980.046777548503,437,7,56,Month-to-Month,1
CMP_1425,29,4407.724931741866,405,14,9,Month-to-Month,1
CMP_1426,46,8800.36774173114,444,5,8,Month-to-Month,0
CMP_1427,53,6560.565495505019,240,10,19,Two Year,0
CMP_1428,6,8419.609774367604,177,5,51,Two Year,0
CMP_1429,35,5244.601813734936,162,3,72,Month-to-Month,1
CMP_1430,41,5582.742293689862,176,10,57,Month-to-Month,1
CMP_1431,37,1871.6825052698387,498,4,68,Two Year,0
CMP_1432,24,7947.879907548877,462,13,31,Month-to-Month,1
CMP_1433,29,4484.201310836231,315,1,3,One Year,0
CMP_1434,49,5250.761123580035,407,2,83,Two Year,0
CMP_1435,46,7958.428283909222,161,2,43,Two Year,0
CMP_1436,53,6189.03130075467,262,13,29,Month-to-Month,0
CMP_1437,31,2410.4379107053405,168,11,10,Month-to-Month,1
CMP_1438,35,6107.210261933481,151,10,12,Month-to-Month,1
CMP_1439,33,4372.51215080673,395,4,46,Two Year,0
CMP_1440,52,4960.492649416695,158,13,30,Two Year,0
CMP_1441,21,768.957106825344,467,4,82,One Year,0
CMP_1442,32,2495.2788204046756,371,5,88,One Year,0
CMP_1443,23,3169.8617731197683,42,4,32,One Year,0
